"Provincia";"Comune Nome";"Stazione Nome";"Data";"Parametro Nome";"Valore Alfanum";"Sta Gb E";"Sta Gb N"
"FI";"PELAGO";"SIEVE - PRESA ACQUEDOTTO SAN FRANCESCO";"05-FEB-24";"TEMPERATURA";"10,7";"1696955";"4850494"
"FI";"FIRENZUOLA";"TORRENTE DIATERNA VALLE FIRENZUOLA";"05-FEB-24";"TEMPERATURA";"9,8";"1694488";"4891549"
"FI";"FIRENZUOLA";"TORRENTE ROVIGO";"05-FEB-24";"TEMPERATURA";"9,6";"1694995";"4885936"
"AR";"AREZZO";"ARNO CASTELLUCCIO BUON RIPOSO";"05-FEB-24";"TEMPERATURA";"7,3";"1728871";"4822493"
"PT";"MARLIANA";"NIEVOLE - FORRABUIA PRESA MONTECATINI";"05-FEB-24";"TEMPERATURA";"10,2";"1643868";"4867484"
"PT";"MASSA E COZZILE";"TORRENTE BORRA";"05-FEB-24";"TEMPERATURA";"10,8";"1641222";"4863674"
"FI";"MONTAIONE";"TORRENTE EGOLA MONTE";"05-FEB-24";"TEMPERATURA";"8,4";"1654237";"4822037"
"PI";"SAN MINIATO";"ELSA VALLE INFERIORE";"05-FEB-24";"TEMPERATURA";"9,3";"1651343";"4841847"
"GR";"PITIGLIANO";"FOSSO DEL PROCCHIO";"05-FEB-24";"TEMPERATURA";"8,6";"1719182";"4724316"
"GR";"ORBETELLO";"ALBEGNA - BARCA DEI GRAZI";"01-FEB-24";"TEMPERATURA";"11,4";"1684079";"4709770"
"PO";"CARMIGNANO";"TORRENTE OMBRONE POGGIO A CAIANO";"31-GEN-24";"TEMPERATURA";"9,6";"1666168";"4849195"
"PT";"QUARRATA";"DOGAIA DEI QUADRELLI PONTE AL FOSSO";"31-GEN-24";"TEMPERATURA";"6,6";"1662627";"4856704"
"PT";"QUARRATA";"OMBRONE - PONTE DELLA CASERANA";"31-GEN-24";"TEMPERATURA";"9";"1662251";"4858643"
"SI";"MONTALCINO";"TORRENTE ASSO";"31-GEN-24";"TEMPERATURA";"4,3";"1707897";"4770341"
"SI";"MONTALCINO";"TORRENTE TUONA";"31-GEN-24";"TEMPERATURA";"5,8";"1709694";"4771816"
"SI";"SAN QUIRICO D'ORCIA";"ORCIA - LOC. BAGNOVIGNONI";"31-GEN-24";"TEMPERATURA";"4";"1714039";"4767383"
"PI";"CHIANNI";"TORRENTE STERZA VALLE ERA";"31-GEN-24";"TEMPERATURA";"9,6";"1636760";"4814395"
"PI";"PECCIOLI";"FIUME ERA MEDIO";"31-GEN-24";"TEMPERATURA";"6,3";"1641870";"4816017"
"LU";"BORGO A MOZZANO";"LIMA - PONTE CATENE";"31-GEN-24";"TEMPERATURA";"7,1";"1625288";"4873730"
"LU";"BORGO A MOZZANO";"LIMA - PONTE CATENE";"31-GEN-24";"TEMPERATURA";"7,1";"1625288";"4873730"
"LU";"BAGNI DI LUCCA";"TORRENTE PIZZORNA";"31-GEN-24";"TEMPERATURA";"8,7";"1625391";"4873666"
"LU";"BAGNI DI LUCCA";"TORRENTE PIZZORNA";"31-GEN-24";"TEMPERATURA";"8,7";"1625391";"4873666"
"LU";"BARGA";"TORRENTE CORSONNA";"31-GEN-24";"TEMPERATURA";"7,2";"1619561";"4882439"
"LU";"BORGO A MOZZANO";"TORRENTE PEDOGNA";"31-GEN-24";"TEMPERATURA";"8,9";"1620146";"4869308"
"LU";"COREGLIA ANTELMINELLI";"SERCHIO - GHIVIZZANO";"31-GEN-24";"TEMPERATURA";"7,4";"1621314";"4875203"
"LU";"COREGLIA ANTELMINELLI";"SERCHIO - GHIVIZZANO";"31-GEN-24";"TEMPERATURA";"7,4";"1621314";"4875203"
"GR";"CASTEL DEL PIANO";"TORRENTE ENTE CASTEL DEL PIANO";"31-GEN-24";"TEMPERATURA";"6,7";"1706069";"4759760"
"PT";"PISTOIA";"TORRENTE BRANA";"30-GEN-24";"TEMPERATURA";"9,2";"1658939";"4863673"
"PT";"QUARRATA";"BACINO FALCHERETO";"30-GEN-24";"TEMPERATURA";"8,4";"1657270";"4856700"
"PT";"QUARRATA";"BACINO FALCHERETO";"30-GEN-24";"TEMPERATURA";"8,4";"1657270";"4856700"
"PT";"QUARRATA";"BACINO DUE FORRE";"30-GEN-24";"TEMPERATURA";"7,8";"1655449";"4857390"
"PT";"QUARRATA";"BACINO DUE FORRE";"30-GEN-24";"TEMPERATURA";"7,8";"1655449";"4857390"
"AR";"CASTIGLION FIORENTINO";"TORRENTE ESSE LOC. PONTI DI BROLIO";"30-GEN-24";"TEMPERATURA";"3,9";"1729846";"4791059"
"SI";"SAN GIMIGNANO";"TORRENTE FOCI";"30-GEN-24";"TEMPERATURA";"7,4";"1668762";"4812763"
"SI";"POGGIBONSI";"ELSA valle superiore";"30-GEN-24";"TEMPERATURA";"11";"1672201";"4815451"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"30-GEN-24";"TEMPERATURA";"9,3";"1607018";"4854251"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"30-GEN-24";"TEMPERATURA";"8,9";"1607018";"4854251"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"30-GEN-24";"TEMPERATURA";"9,1";"1607018";"4854251"
"LU";"MASSAROSA";"MASSACIUCCOLI - CENTRO LAGO";"30-GEN-24";"TEMPERATURA";"9,6";"1607018";"4854251"
"PT";"PISTOIA";"TORRENTE BURE DI BAGGIO";"29-GEN-24";"TEMPERATURA";"8";"1656963";"4871868"
"PT";"MONTALE";"TORRENTE AGNA DELLE CONCHE";"29-GEN-24";"TEMPERATURA";"7,2";"1662859";"4870331"
"AR";"AREZZO";"ARNO CASTELLUCCIO BUON RIPOSO";"29-GEN-24";"TEMPERATURA";"5,1";"1728871";"4822493"
"PO";"PRATO";"BISENZIO - LOC. MEZZANA";"29-GEN-24";"TEMPERATURA";"8,1";"1670795";"4857805"
"GR";"GAVORRANO";"BRUNA - MONTE TORRENTE CARSIA LOC. CASTEANI";"29-GEN-24";"TEMPERATURA";"8";"1661177";"4759728"
"GR";"GAVORRANO";"TORRENTE SOVATA";"29-GEN-24";"TEMPERATURA";"7";"1664417,66";"4752855,11"
"GR";"GAVORRANO";"BRUNA - SP. 31 COLLACCHIA LOC. LA BARTOLINA";"29-GEN-24";"TEMPERATURA";"9";"1665337";"4756991"
"PI";"VOLTERRA";"S. MARTA - SALINE";"29-GEN-24";"TEMPERATURA";"13,2";"1647483";"4802136"
"PI";"MONTEVERDI MARITTIMO";"MASSERA - PONTE PER SASSETTA";"29-GEN-24";"TEMPERATURA";"6,9";"1639765";"4776184"
"PI";"MONTECATINI VAL DI CECINA";"GRANDE MONTECATINI - MONTE CONFLUENZA CECINA";"29-GEN-24";"TEMPERATURA";"12,2";"1644299";"4802069"
"PI";"POMARANCE";"TORRENTE  TROSSA";"29-GEN-24";"TEMPERATURA";"11,9";"1641656";"4798412"
"PI";"POMARANCE";"CECINA - PONTE PONTEGINORI";"29-GEN-24";"TEMPERATURA";"10";"1641088";"4799350"
"LU";"VILLA BASILICA";"PESCIA DI COLLODI - PONTE A VILLA";"25-GEN-24";"TEMPERATURA";"8,5";"1632420";"4863723"
"PI";"BIENTINA";"CANALE ROGIO - BARACCA DI NANNI";"25-GEN-24";"TEMPERATURA";"12,8";"1629836";"4850269"
"PT";"SAN MARCELLO PITEGLIO";"TORRENTE LIMESTRE - A MONTE IMMISSIONE - LIMA";"24-GEN-24";"TEMPERATURA";"6,7";"1642078";"4879092"
"PT";"ABETONE CUTIGLIANO";"TORRENTE SESTAIONE - PRESA ACQUEDOTTO";"24-GEN-24";"TEMPERATURA";"4";"1633142";"4887154"
"PT";"PISTOIA";"RENO - PRESA ACQUEDOTTO LOC. PRACCHIA";"24-GEN-24";"TEMPERATURA";"5,6";"1652566";"4879557"
"SI";"MONTALCINO";"ORCIA - LOC. PODERE CASACCIA";"24-GEN-24";"TEMPERATURA";"8,1";"1693698";"4760151"
"SI";"BUONCONVENTO";"ARBIA - MONTE CONFLUENZA OMBRONE";"24-GEN-24";"TEMPERATURA";"7,8";"1701301";"4779972"
"SI";"CHIUSI";"CHIUSI - INTERNO INVASO";"23-GEN-24";"TEMPERATURA";"7,8";"1741409";"4771057"
"SI";"SAN CASCIANO DEI BAGNI";"INVASO ORCIA-ASTRONE";"23-GEN-24";"TEMPERATURA";"8,4";"1727692";"4768831"
"SI";"RAPOLANO TERME";"LAGO DEL CALCIONE - INTERNO INVASO";"23-GEN-24";"TEMPERATURA";"8,5";"1717196";"4796549"
"SI";"CHIUSI";"CHIUSI - INTERNO INVASO";"23-GEN-24";"TEMPERATURA";"8,4";"1741409";"4771057"
"SI";"SAN CASCIANO DEI BAGNI";"INVASO ORCIA-ASTRONE";"23-GEN-24";"TEMPERATURA";"8,4";"1727692";"4768831"
"SI";"CASTELNUOVO BERARDENGA";"ARBIA - MONTE PONTE DI PIANELLA";"23-GEN-24";"TEMPERATURA";"8,9";"1695149";"4807105"
"AR";"LATERINA PERGINE VALDARNO";"TORRENTE TROVE";"23-GEN-24";"TEMPERATURA";"7,7";"1715969";"4811100"
"AR";"TERRANUOVA BRACCIOLINI";"TORRENTE CIUFFENNA";"23-GEN-24";"TEMPERATURA";"6";"1708372";"4824722"
"PT";"PISTOIA";"TORRENTE VINCIO DI MONTAGNANA";"23-GEN-24";"TEMPERATURA";"8,1";"1649651";"4865526"
"PT";"PISTOIA";"TORRENTE VINCIO DI BRANDEGLIO";"23-GEN-24";"TEMPERATURA";"9,2";"1650377";"4870490"
"PT";"PISTOIA";"TORRENTE VINCIO DI BRANDEGLIO";"23-GEN-24";"TEMPERATURA";"9,2";"1650377";"4870490"
"FI";"CASTELFIORENTINO";"TORRENTE PESCIOLA";"23-GEN-24";"TEMPERATURA";"7,5";"1660243";"4828203"
"LU";"PIETRASANTA";"VERSILIA - PONTE ALLA SIPE";"23-GEN-24";"TEMPERATURA";"15,2";"1594375";"4870429"
"LU";"PIETRASANTA";"VERSILIA - PONTE ALLA SIPE";"23-GEN-24";"TEMPERATURA";"15,2";"1594375";"4870429"
"LU";"SERAVEZZA";"SERRA - PARCO DEI BIMBI";"23-GEN-24";"TEMPERATURA";"10,4";"1597717";"4873337"
"LU";"VIAREGGIO";"CANALE BURLAMACCA TORRE MATILDE";"23-GEN-24";"TEMPERATURA";"10,9";"1600996";"4857868"
"LU";"SERAVEZZA";"VEZZA - DISCESA ALVEO CAVA";"23-GEN-24";"TEMPERATURA";"9,8";"1600405";"4872143"
"LU";"SERAVEZZA";"VEZZA - DISCESA ALVEO CAVA";"23-GEN-24";"TEMPERATURA";"9,8";"1600405";"4872143"
"GR";"FOLLONICA";"PECORA - SP.125 VECCHIA AURELIA A VALLE PONTE";"23-GEN-24";"TEMPERATURA";"10,7";"1646976";"4755547"
"FI";"VAGLIA";"TORRENTE DEL CARLONE";"22-GEN-24";"TEMPERATURA";"7,6";"1682572";"4866968"
"FI";"FIESOLE";"BACINO LA CALVANELLA";"22-GEN-24";"TEMPERATURA";"6,1";"1688875";"4860080"
"FI";"PONTASSIEVE";"TORRENTE RISAIO";"22-GEN-24";"TEMPERATURA";"5,7";"1692927";"4858037"
"FI";"GAMBASSI TERME";"RIOPETROSO_BORGOFORTE";"22-GEN-24";"TEMPERATURA";"7,8";"1657290";"4824947"
"AR";"CASTELFRANCO PIANDISCO'";"FINESTRELLE";"22-GEN-24";"TEMPERATURA";"5,1";"1707714";"4833950"
"AR";"CAVRIGLIA";"LAGO ORMA DEL DIAVOLO CAMMENATA";"22-GEN-24";"TEMPERATURA";"6,1";"1700851";"4820231"
"PT";"PONTE BUGGIANESE";"PESCIA DI PESCIA -  PONTE ALLA GUARDIA";"22-GEN-24";"TEMPERATURA";"5,1";"1641860";"4855059"
"PT";"MONSUMMANO TERME";"NIEVOLE - PONTE DEL PORTO";"22-GEN-24";"TEMPERATURA";"6,2";"1644443";"4856297"
"PT";"MONSUMMANO TERME";"TERZO - RISERVA RIGHETTI";"22-GEN-24";"TEMPERATURA";"6,9";"1644544";"4854790"
"PT";"LARCIANO";"TERZO - CASOTTO DE  MORI";"22-GEN-24";"TEMPERATURA";"5,7";"1646042";"4850440"
"PI";"SANTA MARIA A MONTE";"USCIANA - MASSARELLA";"22-GEN-24";"TEMPERATURA";"6,1";"1645694";"4848214"
"FI";"FUCECCHIO";"CAPANNONE PONTE DI SALANOVA";"22-GEN-24";"TEMPERATURA";"5,7";"1643834";"4850925"
"PT";"PONTE BUGGIANESE";"PESCIA DI COLLODI - PONTE SETTEPASSI";"22-GEN-24";"TEMPERATURA";"6";"1641379";"4851913"
"LU";"CAMPORGIANO";"TORRENTE EDRON - VECCHIA CARTIERA";"22-GEN-24";"TEMPERATURA";"6,8";"1607685";"4888839"
"LU";"CAMPORGIANO";"TORRENTE EDRON - VECCHIA CARTIERA";"22-GEN-24";"TEMPERATURA";"6,8";"1607685";"4888839"
"LU";"CASTIGLIONE DI GARFAGNANA";"TORRENTE CORFINO";"22-GEN-24";"TEMPERATURA";"6,3";"1610812";"4891451"
"LU";"CASTIGLIONE DI GARFAGNANA";"TORRENTE CORFINO";"22-GEN-24";"TEMPERATURA";"6,3";"1610812";"4891451"
"LU";"PIAZZA AL SERCHIO";"TORRENTE ACQUA BIANCA - VALLE";"22-GEN-24";"TEMPERATURA";"4,3";"1604382";"4892542"
"LU";"CAMPORGIANO";"SERCHIO - PONTE PETROGNANO - CAMPORGIANO";"22-GEN-24";"TEMPERATURA";"4,4";"1605058";"4890831"
"LU";"CAMPORGIANO";"SERCHIO - PONTE PETROGNANO - CAMPORGIANO";"22-GEN-24";"TEMPERATURA";"4,4";"1605058";"4890831"
