PROVINCIA;COMUNE;STAZIONE;DATACAMPIONAMENTO;PARAMETRO;VALORE_NUMERICO;GEO_Y;GEO_X
LC;OLGINATE;Calolziocorte/Olginate;18.07.2016;Ossigeno disciolto;9.5;45.80368759;9.41416831
PV;Bereguardo;Bereguardo;08.03.2016;pH;7.69;45.23467838;9.007681969
SO;Valdisotto;Valdisotto;18.01.2016;Temperatura acqua;0.1;46.42428487;10.35509431
MN;Gazzuolo;Gazzuolo;05.04.2016;pH;7.79;45.04432064;10.59433446
SO;VALDIDENTRO;Valdidentro;09.08.2016;Ossigeno disciolto;9.3;46.48229357;10.33152062
PV;Ottobiano;Ottobiano;15.03.2016;Conducibilità elettrica a 20°C;429;45.14958112;8.831463076
MN;Quistello;Quistello;06.04.2016;Conducibilità elettrica a 20°C;4162;45.04248476;11.01049127
VA;Varese;Varese;06.07.2016;Temperatura acqua;21.6;45.81982826;8.851945308
CR;Cremona;Cremona;22.03.2016;Conducibilità elettrica a 20°C;363;45.12835471;9.994733459
MN;Ponti sul Mincio;Ponti sul Mincio;04.04.2016;Temperatura acqua;12.6;45.39498245;10.70507601
MI;PADERNO DUGNANO;Paderno Dugnano;29.03.2016;Temperatura acqua;14.59;45.53817049;9.182187817
PV;Vigevano;Vigevano;25.08.2016;pH;7.51;45.2923226;8.81754532
LO;VILLANOVA DEL SILLARO;Villanova Sillaro;20.07.2016;Conducibilità elettrica a 20°C;283;45.23473967;9.481811677
MN;Canneto sull'Oglio;Canneto SullOglio;07.03.2016;Temperatura acqua;7.6;45.15644252;10.41260642
LO;Montanaso Lombardo;Montanaso Lombardo;24.05.2016;Conducibilità elettrica a 20°C;251;45.33940456;9.486785435
BG;Ardesio;Ardesio;07.09.2016;Ossigeno disciolto;10.59;45.95138962;9.925548542
SO;Prata Camportaccio;Prata Camportaccio;31.08.2016;pH;8.1;46.75335549;9.40340591
BS;Bagolino;Bagolino;08.06.2016;Temperatura acqua;10.8;45.825293;10.53052532
CR;Isola Dovarese;Isola Dovarese;25.05.2016;Temperatura acqua;17.1;45.17888542;10.30351456
CR;Stagno Lombardo;Stagno Lombardo;20.04.2016;pH;7.2;45.05292141;10.06451635
BG;Zogno;Zogno;12.07.2016;pH;;45.80789456;9.681507291
MN;Viadana;Viadana;10.02.2016;pH;8.04;44.9121599;10.53632845
LO;San Martino in Strada;S. Martino in Strada;24.03.2016;Escherichia coli;3654;45.26380011;9.541189189
CR;Crema;Crema;11.08.2016;Temperatura acqua;17.7;45.34548271;9.694962049
CR;Pizzighettone;Pizzighettone;07.09.2016;Temperatura acqua;19.3;45.20654984;9.811291315
BG;Arzago d'Adda;Arzago dAdda;27.01.2016;pH;;45.4856483;9.587775605
SO;Grosio;Grosio;10.11.2016;Conducibilità elettrica a 20°C;97;46.33672377;10.2507246
PV;Borgo Priolo;Borgo Priolo;03.03.2016;Escherichia coli;720;44.97126911;9.157922151
VA;Somma Lombardo;Somma Lombardo;02.03.2016;Conducibilità elettrica a 20°C;392;45.67705954;8.68323188
PV;Bornasco;Pontelungo/Lardirago;20.01.2016;Escherichia coli;;45.27445039;9.226293022
VA;Golasecca;Golasecca;24.11.2016;Conducibilità elettrica a 20°C;174;45.70554447;8.654411314
BG;Brembate di Sopra;Brembate Sopra;28.11.2016;Temperatura acqua;8.8;45.71022021;9.587687711
VA;Cazzago Brabbia;Cazzago Brabbia;05.05.2016;Ossigeno disciolto;7;45.79802582;8.716571343
LO;Santo Stefano Lodigiano;S. Stefano Lodigiano;14.07.2016;Temperatura acqua;24.1;45.10578654;9.736683697
BS;Sarezzo;Sarezzo;03.11.2016;Escherichia coli;51720;45.64680034;10.20210762
VA;Lonate Pozzolo;Lonate Pozzolo;07.09.2016;Temperatura acqua;22.3;45.58952943;8.704542828
MI;San Giuliano Milanese;S. Giuliano Milanese;26.04.2016;Conducibilità elettrica a 20°C;734;45.36542906;9.317839419
BG;Costa Volpino;Costa Volpino;08.06.2016;pH;7.9;45.82636852;10.10452261
CR;Piadena;Piadena;17.11.2016;Conducibilità elettrica a 20°C;1246;45.13274124;10.39428604
SO;Mese;Mese;07.11.2016;Temperatura acqua;7.8;46.31499122;9.387627003
CR;GABBIONETA BINANUOVA;Gabbioneta Binanuova;10.02.2016;Temperatura acqua;9.7;45.24028145;10.17445054
MN;Sermide;Sermide;21.01.2016;Temperatura acqua;1.2;44.95056196;11.26778355
MB;Lesmo;Lesmo;03.03.2016;Ossigeno disciolto;10.57;45.63505181;9.299078398
CR;Stagno Lombardo;Stagno Lombardo;22.09.2016;Ossigeno disciolto;3.92;45.05292141;10.06451635
VA;Ferrera di Varese;Ferrera di Varese;02.02.2016;Escherichia coli;160;45.93653198;8.776872768
BG;Fara Gera d'Adda;Fara Gera dAdda;17.03.2016;pH;8;45.55245436;9.528771137
MN;Borgoforte;Borgoforte;17.03.2016;pH;7.94;45.04546222;10.75575317
MN;Borgoforte;Borgoforte;20.01.2016;pH;7.52;45.05611677;10.74069972
CO;Cernobbio;Cernobbio;12.09.2016;Ossigeno disciolto;9.3;45.83498456;9.072982762
CR;Piadena;Piadena;22.06.2016;Escherichia coli;2000;45.13274124;10.39428604
CO;Gera Lario;Gera Lario;31.08.2016;Temperatura acqua;14.3;46.14975406;9.4128793
BS;Bovezzo;Bovezzo;07.03.2016;Ossigeno disciolto;;45.58404197;10.24616958
LC;Varenna;Perledo;12.07.2016;pH;8.8;46.01469797;9.283041999
PV;Pavia;Pavia;06.07.2016;Ossigeno disciolto;7.96;45.18056556;9.153280587
BG;Palosco;Palosco;11.04.2016;pH;;45.58684179;9.845169363
SO;Teglio;Teglio;08.02.2016;Temperatura acqua;5.3;46.1617636;10.09962663
LO;Montanaso Lombardo;Montanaso Lombardo;24.05.2016;Ossigeno disciolto;9.63;45.33940456;9.486785435
CR;Crema;Crema;28.09.2016;Conducibilità elettrica a 20°C;620;45.34548271;9.694962049
BS;Rudiano;Rudiano;09.08.2016;Temperatura acqua;19;45.48277549;9.911517366
LO;Montanaso Lombardo;Montanaso Lombardo;17.03.2016;Ossigeno disciolto;11.29;45.33940456;9.486785435
LO;Lodi Vecchio;Lodi Vecchio;28.07.2016;pH;7.72;45.30149452;9.410275883
CR;Cappella Cantone;Cappella Cantone;23.02.2016;Conducibilità elettrica a 20°C;545;45.23312622;9.838617725
SO;VALDIDENTRO;Valdidentro;20.09.2016;Temperatura acqua;10;46.48229357;10.33152062
BS;Castenedolo;Castenedolo;09.03.2016;Conducibilità elettrica a 20°C;432;45.45464997;10.27815276
CR;Castelvisconti;Castelvisconti;08.06.2016;Temperatura acqua;19.6;45.31860075;9.949348223
BS;Vobarno;Vobarno;01.09.2016;Temperatura acqua;19.7;45.64971577;10.50015452
BG;San Giovanni Bianco;S. Giovanni Bianco;04.04.2016;pH;;45.87442684;9.653147796
VA;Ferrera di Varese;Ferrera di Varese;05.07.2016;Temperatura acqua;22;45.93653198;8.776872768
CR;Castelvisconti;Castelvisconti;07.11.2016;pH;7.82;45.31860075;9.949348223
MN;Mantova;Mantova;06.04.2016;Conducibilità elettrica a 20°C;488.3;45.12698879;10.84319471
PV;Bastida Pancarana;Bastida Pancarana;09.06.2016;Conducibilità elettrica a 20°C;285.5;45.10508725;9.115072002
MI;Abbiategrasso;Abbiategrasso;14.01.2016;Escherichia coli;;45.38694025;8.859205589
MI;Trezzo sull'Adda;Trezzo dAdda;18.05.2016;pH;7.96;45.60216987;9.529956696
LO;Castelnuovo Bocca d'Adda;Castelnuovo Bocca dAdda;08.11.2016;Conducibilità elettrica a 20°C;191;45.13385186;9.843035618
MN;Roncoferraro;Roncoferraro;13.10.2016;Temperatura acqua;12.68;45.11303257;10.90376618
BG;Palosco;Palosco;25.07.2016;pH;7.9;45.58284327;9.835674785
MB;Carnate;Carnate;01.09.2016;Temperatura acqua;25.9;45.65466367;9.37814319
CR;Rivarolo del Re ed Uniti;Rivarolo del Re;19.01.2016;Temperatura acqua;3.5;45.04402746;10.43434861
BG;Zogno;Zogno;12.07.2016;Temperatura acqua;15.8;45.80789456;9.681507291
CO;Gera Lario;Gera Lario;26.09.2016;pH;8.2;46.14975406;9.4128793
VA;Lonate Pozzolo;Lonate Pozzolo;03.02.2016;Temperatura acqua;9;45.58952943;8.704542828
MN;Roncoferraro;Roncoferraro;13.10.2016;pH;7.75;45.12130166;11.0197439
MN;Quistello;Quistello;07.06.2016;Temperatura acqua;19.91;45.04248476;11.01049127
MN;Goito;Goito;03.05.2016;Conducibilità elettrica a 20°C;656.3;45.26100724;10.66372324
SO;Grosio;Grosio;03.02.2016;Conducibilità elettrica a 20°C;142;46.28603884;10.26030626
LC;Valmadrera;Valmadrera;11.08.2016;pH;8.4;45.8504889;9.367247722
PV;Cervesina;Cervesina;14.06.2016;Ossigeno disciolto;7.41;45.06301792;9.014264402
BG;Zogno;Zogno;02.08.2016;Temperatura acqua;14.6;45.80789456;9.681507291
SO;Teglio;Teglio;25.05.2016;Temperatura acqua;7;46.07890888;10.12313459
MN;Sabbioneta;Sabbioneta;02.03.2016;Temperatura acqua;11.1;44.9838967;10.50310913
VA;Somma Lombardo;Somma Lombardo;08.06.2016;Temperatura acqua;19.3;45.67705954;8.68323188
BG;Bonate Sopra;Bonate Sopra;20.06.2016;pH;8.2;45.67740488;9.5624339
VA;Somma Lombardo;Somma Lombardo;24.11.2016;Temperatura acqua;11.2;45.67705954;8.68323188
PV;Spessa;Arena Po;13.04.2016;Escherichia coli;;45.10434652;9.347170943
PV;Bastida Pancarana;Bastida Pancarana;10.11.2016;Temperatura acqua;8.2;45.10508725;9.115072002
LC;Varenna;Perledo;14.03.2016;Temperatura acqua;7.5;46.01469797;9.283041999
MI;Vizzolo Predabissi;Vizzolo Predabissi;13.12.2016;Escherichia coli;1413.9;45.36827554;9.335963042
BG;Valbrembo;Valbrembo;02.08.2016;pH;8.16;45.71247094;9.60479919
PV;Bereguardo;Bereguardo;08.03.2016;Conducibilità elettrica a 20°C;229.7;45.23467838;9.007681969
VA;Brebbia;Brebbia;12.12.2016;Temperatura acqua;8.4;45.84129999;8.634064328
MB;Lentate sul Seveso;Lentate sul Seveso;01.09.2016;pH;7.99;45.67082319;9.131522449
BG;Trescore Balneario;Trescore Balneario;10.11.2016;Conducibilità elettrica a 20°C;419;45.6897663;9.848695289
MN;Rodigo;Rodigo;12.01.2016;Ossigeno disciolto;10;45.19919384;10.67899451
PV;Bastida Pancarana;Bastida Pancarana;04.10.2016;pH;7.96;45.10508725;9.115072002
BG;San Pellegrino Terme;S. Pellegrino Terme;21.11.2016;pH;8.16;45.84307092;9.66893063
MI;Locate di Triulzi;Locate triulzi;22.03.2016;Temperatura acqua;14.33;45.35912993;9.202830047
BG;Arzago d'Adda;Arzago dAdda;20.12.2016;Ossigeno disciolto;12.15;45.4856483;9.587775605
MN;Ceresara;Ceresara;09.02.2016;pH;7.95;45.27174902;10.57124709
BG;Arzago d'Adda;Arzago dAdda;18.07.2016;Conducibilità elettrica a 20°C;;45.4856483;9.587775605
SO;Montagna in Valtellina;Montagna Valt.;05.10.2016;Conducibilità elettrica a 20°C;180;46.16757952;9.90381766
BS;Pisogne;Pisogne;22.09.2016;Escherichia coli;6131;45.81030494;10.10798848
CO;Bulgarograsso;Bulgarograsso;10.05.2016;Temperatura acqua;13.8;45.74484845;9.015638639
LC;Lomagna;Lomagna;12.10.2016;Conducibilità elettrica a 20°C;477;45.67000729;9.367860745
BG;Barzana;Barzana;22.11.2016;Ossigeno disciolto;10.26;45.73721287;9.571775784
CO;Claino con Osteno;Claino  con Osteno;24.05.2016;Temperatura acqua;9.1;46.00680971;9.08536192
LC;Lecco;Lecco;27.07.2016;pH;8;45.87648791;9.428828766
MI;Abbiategrasso;Abbiategrasso;03.11.2016;pH;7.98;45.36518553;8.860280722
PV;Pavia;Pavia;06.04.2016;Conducibilità elettrica a 20°C;176.5;45.18056556;9.153280587
BG;Mozzanica;Mozzanica;16.06.2016;Escherichia coli;1210;45.48342714;9.709313014
SO;Valdidentro;Valdidentro;03.08.2016;Conducibilità elettrica a 20°C;325;46.4894348;10.35938285
PV;Pieve Porto Morone;Pieve Porto Morone;13.09.2016;pH;7.58;45.10485092;9.411974539
PV;Zinasco;Zinasco;25.08.2016;Ossigeno disciolto;8;45.12143547;9.026611015
MI;San Giuliano Milanese;S. Giuliano Milanese;14.12.2016;Ossigeno disciolto;10.85;45.36542906;9.317839419
BS;Pisogne;Pisogne;23.06.2016;Temperatura acqua;14;45.81030494;10.10798848
CR;San Daniele Po;San Daniele Po;22.09.2016;Conducibilità elettrica a 20°C;410;45.05386669;10.17601399
PV;Chignolo Po;Chignolo Po;13.04.2016;Escherichia coli;;45.13321436;9.515016406
BS;Cazzago San Martino;Cazzago S. Martino;02.03.2016;Escherichia coli;517;45.53262149;10.04315858
SO;Montagna in Valtellina;Montagna Valt.;26.09.2016;Conducibilità elettrica a 20°C;258;46.16757952;9.90381766
BG;Filago;Filago;20.06.2016;Ossigeno disciolto;9.25;45.63110708;9.550936465
BS;Gottolengo;Gottolengo;05.10.2016;Temperatura acqua;15.8;45.320246;10.28509046
BG;Costa Volpino;Costa Volpino;19.07.2016;Conducibilità elettrica a 20°C;322;45.82636852;10.10452261
MN;Viadana;Viadana;06.07.2016;pH;8.1;45.02236158;10.63218297
MN;Gazzuolo;Gazzuolo;05.04.2016;pH;7.75;45.07636956;10.57467005
BS;Rovato;Rovato;21.11.2016;Temperatura acqua;;45.56085658;10.0041143
BG;Filago;Filago;13.07.2016;Conducibilità elettrica a 20°C;;45.63110708;9.550936465
LC;Valmadrera;Valmadrera;13.01.2016;Ossigeno disciolto;10.2;45.85478938;9.367778511
BS;Vione;Vione;09.06.2016;pH;8.3;46.24297908;10.43663399
LO;San Martino in Strada;S. Martino in Strada;19.10.2016;Conducibilità elettrica a 20°C;201;45.26380011;9.541189189
MB;Lesmo;Lesmo;02.11.2016;pH;8.39;45.63505181;9.299078398
VA;Sesto Calende;Sesto Calende;24.11.2016;Ossigeno disciolto;10.2;45.72469289;8.626972712
PV;Travacò Siccomario;Travacò  Siccomario;04.10.2016;Ossigeno disciolto;8.05;45.15944584;9.190502633
PV;Vigevano;Vigevano;25.08.2016;Conducibilità elettrica a 20°C;244;45.2923226;8.81754532
BS;Temù;Temù;22.03.2016;Escherichia coli;;46.24488574;10.46788162
VA;Sesto Calende;Sesto Calende;04.05.2016;Temperatura acqua;13;45.72469289;8.626972712
MI;Cuggiono;Cuggiono;05.10.2016;Ossigeno disciolto;8.84;45.49414741;8.774620534
BG;Ardesio;Ardesio;07.11.2016;Conducibilità elettrica a 20°C;246;45.94714101;9.923582351
CR;Sergnano;Sergnano;01.03.2016;Escherichia coli;4600;45.42980434;9.709841805
BG;Ardesio;Ardesio;09.03.2016;Conducibilità elettrica a 20°C;232;45.94714101;9.923582351
BG;Ardesio;Ardesio;07.06.2016;pH;8.2;45.94714101;9.923582351
MI;Rho;Rho;09.02.2016;Ossigeno disciolto;11.18;45.5262084;9.019838765
BG;Treviglio;Treviglio;19.01.2016;pH;;45.53999258;9.574380911
LO;San Martino in Strada;S. Martino in Strada;22.09.2016;pH;7.92;45.26380011;9.541189189
SO;Montagna in Valtellina;Montagna Valt.;06.04.2016;Conducibilità elettrica a 20°C;190;46.16757952;9.90381766
LO;Fombio;Fombio;14.06.2016;pH;7.82;45.12301134;9.686113235
BG;Valbrembo;Valbrembo;15.03.2016;Ossigeno disciolto;12.82;45.71247094;9.60479919
BS;Edolo;Edolo;14.09.2016;Ossigeno disciolto;10;46.17146257;10.30431893
SO;Grosio;Grosio;10.11.2016;Temperatura acqua;1.2;46.33672377;10.2507246
CR;Stagno Lombardo;Stagno Lombardo;12.12.2016;pH;8.14;45.05292141;10.06451635
PV;Voghera;Voghera;12.10.2016;Ossigeno disciolto;9.92;44.95976439;9.016392961
VA;Cassano Magnago;Cassano Magnago;04.07.2016;Ossigeno disciolto;8.4;45.67928433;8.806454833
BG;Osio Sopra;Osio sopra;04.08.2016;pH;7.76;45.63320642;9.563402141
MN;Volta Mantovana;Volta mantovana;06.07.2016;Temperatura acqua;;45.31067948;10.70206972
BS;Vestone;Vestone;14.03.2016;Temperatura acqua;9;45.70196251;10.38720124
MB;Cesano Maderno;Seveso;02.03.2016;Ossigeno disciolto;9.97;45.64615771;9.147578923
LC;Valmadrera;Valmadrera;12.12.2016;Ossigeno disciolto;12;45.85478938;9.367778511
MI;Trezzo sull'Adda;Trezzo dAdda;20.01.2016;Conducibilità elettrica a 20°C;166;45.60216987;9.529956696
PV;Bornasco;Pontelungo/Lardirago;10.03.2016;Conducibilità elettrica a 20°C;524;45.27445039;9.226293022
LC;Lecco;Lecco;13.01.2016;Ossigeno disciolto;12.3;45.87556513;9.428864706
BG;Bonate Sotto;Bonate Sotto;21.09.2016;Temperatura acqua;14.2;45.6682706;9.571200383
MN;Rodigo;Rodigo;12.01.2016;Temperatura acqua;8.5;45.19919384;10.67899451
MN;Canneto sull'Oglio;Canneto SullOglio;13.04.2016;pH;8.06;45.15644252;10.41260642
LO;Lodi Vecchio;Lodi Vecchio;28.04.2016;Conducibilità elettrica a 20°C;282;45.30149452;9.410275883
MI;Milano;Milano;07.04.2016;pH;8.09;45.45041044;9.168015102
MN;Marcaria;Marcaria;05.10.2016;pH;7.7;45.04117454;10.65100133
SO;Valdidentro;Valdidentro;02.11.2016;pH;8.3;46.48313414;10.26611458
MN;Mantova;Mantova;13.07.2016;Ossigeno disciolto;10.47;45.12698879;10.84319471
CO;Bellagio;Bellagio;05.09.2016;Temperatura acqua;17.2;45.97596038;9.248468123
CO;Grandola ed Uniti;Grandola ed Uniti;03.10.2016;Escherichia coli;4;46.08718279;9.20700912
LC;Dervio;Dervio;12.09.2016;Temperatura acqua;18;46.07275515;9.298443762
CR;Crema;Crema;21.04.2016;pH;7.35;45.34548271;9.694962049
CR;Crema;Crema;11.08.2016;Temperatura acqua;18.8;45.37134103;9.696824055
BG;Ponte Nossa;Ponte Nossa;04.05.2016;Temperatura acqua;13.6;45.85847449;9.879471871
VA;Ferrera di Varese;Ferrera di Varese;22.11.2016;Temperatura acqua;10.2;45.93653198;8.776872768
MN;Mantova;Mantova;03.02.2016;Ossigeno disciolto;9;45.12698879;10.84319471
BS;Barghe;Barghe;06.09.2016;Temperatura acqua;17.6;45.68847396;10.40018509
MN;Viadana;Viadana;15.03.2016;Escherichia coli;100;44.9121599;10.53632845
MN;Moglia;Moglia;08.11.2016;Conducibilità elettrica a 20°C;363.9;44.96139934;10.95440339
PV;Spessa;Arena Po;06.10.2016;Temperatura acqua;16;45.10434652;9.347170943
BS;Capriolo;Capriolo;27.07.2016;Conducibilità elettrica a 20°C;;45.64785076;9.916207463
BS;Bovegno;Bovegno;09.03.2016;Ossigeno disciolto;;45.78141995;10.26320925
LC;Cortenova;Cortenova;07.11.2016;Ossigeno disciolto;10.9;46.01061833;9.37153869
LC;Valmadrera;Valmadrera;08.06.2016;Escherichia coli;2800;45.85478938;9.367778511
MN;Canneto sull'Oglio;Canneto SullOglio;18.01.2016;Temperatura acqua;5.5;45.15644252;10.41260642
PV;San Zenone al Po;S. Zenone Po;20.01.2016;Conducibilità elettrica a 20°C;522.2;45.10888783;9.363088336
VA;LAVENO MOMBELLO;Laveno Mombello;06.04.2016;Temperatura acqua;12;45.90494569;8.623978066
CO;Valsolda;Valsolda;15.02.2016;Conducibilità elettrica a 20°C;474;46.02530718;9.052895329
MN;Castellucchio;Castellucchio;19.04.2016;Conducibilità elettrica a 20°C;478;45.14714103;10.66220016
LC;Vercurago;Vercurago;07.06.2016;Ossigeno disciolto;9.1;45.808031;9.41768829
LO;Castelnuovo Bocca d'Adda;Castelnuovo Bocca dAdda;11.02.2016;Conducibilità elettrica a 20°C;229;45.13385186;9.843035618
VA;Cassano Magnago;Cassano Magnago;04.05.2016;pH;8.8;45.67928433;8.806454833
MI;Legnano;Legnano;24.11.2016;Ossigeno disciolto;9.9;45.58927075;8.920712912
SO;Aprica;Aprica;08.02.2016;Temperatura acqua;3.4;46.14876857;10.13044675
CR;Pizzighettone;Pizzighettone;11.10.2016;pH;7.9;45.20654984;9.811291315
LC;Premana;Premana;04.10.2016;Ossigeno disciolto;10.8;46.05110056;9.413510933
PV;San Zenone al Po;S. Zenone Po;14.07.2016;Ossigeno disciolto;6.36;45.10888783;9.363088336
SO;Sondalo;Sondalo;11.05.2016;Temperatura acqua;10.6;46.36177327;10.3555013
LO;Castelnuovo Bocca d'Adda;Castelnuovo Bocca dAdda;11.08.2016;Temperatura acqua;23.81;45.13385186;9.843035618
PV;Pavia;Pavia;04.10.2016;Escherichia coli;;45.18056556;9.153280587
MN;Roncoferraro;Roncoferraro;20.04.2016;Conducibilità elettrica a 20°C;400;45.11303257;10.90376618
CO;Grandola ed Uniti;Grandola ed Uniti;17.05.2016;Ossigeno disciolto;8.6;46.08718279;9.20700912
LO;Sant'Angelo Lodigiano;Sant.Angelo Lodigiano;19.05.2016;Temperatura acqua;16.65;45.24315479;9.41462148
LO;San Martino in Strada;S. Martino in Strada;25.02.2016;Temperatura acqua;10.39;45.26380011;9.541189189
LO;Castelnuovo Bocca d'Adda;Castelnuovo Bocca dAdda;10.03.2016;Escherichia coli;;45.11559165;9.868930411
SO;Bormio;Bormio;01.12.2016;pH;8.2;46.45874895;10.35920475
MB;Carnate;Carnate;07.06.2016;Temperatura acqua;19.33;45.65466367;9.37814319
CO;Gera Lario;Gera Lario;20.01.2016;Temperatura acqua;2.4;46.14975406;9.4128793
BG;Canonica d'Adda;Canonica dAdda;18.07.2016;Conducibilità elettrica a 20°C;312;45.58969655;9.552325217
MN;Porto Mantovano;Porto Mantovano;12.01.2016;Conducibilità elettrica a 20°C;289.6;45.23503034;10.8005307
VA;Golasecca;Golasecca;13.01.2016;Conducibilità elettrica a 20°C;160;45.70554447;8.654411314
MN;Rodigo;Rodigo;03.05.2016;Conducibilità elettrica a 20°C;596.6;45.19919384;10.67899451
MN;Moglia;Moglia;07.06.2016;Temperatura acqua;22.55;44.96139934;10.95440339
BG;Zogno;Zogno;14.09.2016;Conducibilità elettrica a 20°C;559;45.80789456;9.681507291
MN;BORGO VIRGILIO;Borgo Virgilio;11.05.2016;pH;7.65;45.05611677;10.74069972
MI;PADERNO DUGNANO;Paderno Dugnano;24.02.2016;Conducibilità elettrica a 20°C;699;45.53817049;9.182187817
BG;Palosco;Palosco;26.09.2016;Ossigeno disciolto;9.38;45.58684179;9.845169363
LO;Sant'Angelo Lodigiano;Sant.Angelo Lodigiano;16.03.2016;Ossigeno disciolto;8.27;45.24315479;9.41462148
BG;Filago;Filago;05.05.2016;Temperatura acqua;15.9;45.63110708;9.550936465
CR;Crema;Crema;22.11.2016;Conducibilità elettrica a 20°C;571;45.37134103;9.696824055
CO;Porlezza;Porlezza;29.11.2016;Temperatura acqua;4.7;46.030915;9.130199216
BS;Bagolino;Bagolino;16.03.2016;Ossigeno disciolto;;45.825293;10.53052532
LC;Valmadrera;Valmadrera;10.10.2016;pH;8.8;45.85478938;9.367778511
CR;Piadena;Piadena;12.12.2016;Ossigeno disciolto;11.81;45.12550073;10.39306692
BG;Palosco;Palosco;08.08.2016;Conducibilità elettrica a 20°C;642;45.58684179;9.845169363
BS;Gavardo;Gavardo;12.01.2016;Conducibilità elettrica a 20°C;342;45.59145363;10.44006204
PV;Pieve del Cairo;Pieve del Cairo;16.03.2016;Temperatura acqua;9.88;45.04679037;8.819637998
MI;Peschiera Borromeo;Peschiera Borromeo;24.02.2016;Escherichia coli;;45.44448215;9.266649819
MI;Baranzate;Baranzate;30.06.2016;Temperatura acqua;23.85;45.52924961;9.122276961
MB;Carnate;Carnate;12.01.2016;Conducibilità elettrica a 20°C;628;45.65466367;9.37814319
MI;PERO;Pero;04.08.2016;Ossigeno disciolto;8.4;45.51574337;9.070994153
BS;Temù;Temù;13.09.2016;Escherichia coli;261.3;46.24488574;10.46788162
MI;Trezzo sull'Adda;Trezzo dAdda;15.09.2016;Conducibilità elettrica a 20°C;165;45.60216987;9.529956696
CR;Montodine;Montodine;11.10.2016;Conducibilità elettrica a 20°C;602;45.28311106;9.711247599
MB;Lentate sul Seveso;Lentate sul Seveso;03.02.2016;pH;7.82;45.67082319;9.131522449
BG;Mozzanica;Mozzanica;20.09.2016;Escherichia coli;630;45.48342714;9.709313014
BS;Cazzago San Martino;Cazzago S. Martino;22.06.2016;Temperatura acqua;21;45.53262149;10.04315858
LC;Vercurago;Vercurago;09.03.2016;pH;9.1;45.808031;9.41768829
BG;Palosco;Palosco;16.11.2016;Temperatura acqua;6.4;45.58684179;9.845169363
MN;Mantova;Mantova;07.06.2016;Escherichia coli;100;45.12698879;10.84319471
MN;Viadana;Viadana;06.10.2016;pH;8.03;45.02236158;10.63218297
MN;Ceresara;Ceresara;10.05.2016;Ossigeno disciolto;8.91;45.27174902;10.57124709
CO;Claino con Osteno;Claino  con Osteno;29.11.2016;Temperatura acqua;7.2;46.00680971;9.08536192
MI;San Donato Milanese;S. Donato Milanese;16.11.2016;pH;7.68;45.40837714;9.269981843
LO;Castelnuovo Bocca d'Adda;Castelnuovo Bocca dAdda;19.01.2016;Ossigeno disciolto;13.38;45.13385186;9.843035618
LO;Casalpusterlengo;Casalpusterlengo;22.11.2016;Conducibilità elettrica a 20°C;301;45.17708978;9.649701652
PV;Vigevano;Vigevano;09.11.2016;Conducibilità elettrica a 20°C;307.5;45.2923226;8.81754532
MI;Vizzolo Predabissi;Vizzolo Predabissi;23.03.2016;pH;7.81;45.36827554;9.335963042
SO;Livigno;Livigno;01.02.2016;Escherichia coli;5;46.55392603;10.13666653
BS;Verolanuova;Verolanuova;01.03.2016;pH;8.3;45.32256548;10.07661445
MN;Castel Goffredo;Castelgoffredo;05.10.2016;Conducibilità elettrica a 20°C;757;45.33091486;10.47340865
PV;Chignolo Po;Chignolo Po;10.03.2016;Conducibilità elettrica a 20°C;298.6;45.13321436;9.515016406
SO;Lovero;Lovero;03.10.2016;Conducibilità elettrica a 20°C;256;46.2365307;10.22549934
CO;LEZZENO;Lezzeno;11.05.2016;Conducibilità elettrica a 20°C;236;45.94907401;9.206404072
CR;Corte de' Frati;Corte  de Frati;06.09.2016;Ossigeno disciolto;8.79;45.20802867;10.10960784
VA;Lonate Pozzolo;Lonate Pozzolo;04.07.2016;Ossigeno disciolto;8;45.58952943;8.704542828
MN;Volta Mantovana;Volta mantovana;14.01.2016;Conducibilità elettrica a 20°C;310;45.31067948;10.70206972
MN;Porto Mantovano;Porto Mantovano;12.05.2016;Temperatura acqua;18;45.23503034;10.8005307
LC;Varenna;Perledo;08.11.2016;Ossigeno disciolto;11.5;46.01469797;9.283041999
SO;Berbenno di Valtellina;Berbenno;03.11.2016;pH;8.2;46.1592963;9.743080004
SO;TIRANO;Tirano;20.07.2016;Temperatura acqua;12.4;46.2163726;10.17292022
VA;Somma Lombardo;Somma Lombardo;07.09.2016;Temperatura acqua;19.6;45.67705954;8.68323188
VA;Lonate Pozzolo;Lonate Pozzolo;09.08.2016;Ossigeno disciolto;8.7;45.58952943;8.704542828
MI;Parabiago;Parabiago;13.09.2016;Temperatura acqua;26.28;45.55979595;8.962473633
MN;Gazzuolo;Gazzuolo;06.07.2016;Temperatura acqua;26.3;45.04432064;10.59433446
BS;Vestone;Vestone;21.09.2016;pH;8.08;45.70196251;10.38720124
VA;Luino;Luino;02.02.2016;Temperatura acqua;6;46.02350823;8.753615742
CO;COMO;Como;20.01.2016;pH;8.3;45.80282546;9.107056137
VA;LAVENO MOMBELLO;Laveno Mombello;06.04.2016;Ossigeno disciolto;10;45.90494569;8.623978066
MN;Viadana;Viadana;05.04.2016;Ossigeno disciolto;7;44.9121599;10.53632845
