PROVINCIA;COMUNE;STAZIONE;DATACAMPIONAMENTO;PARAMETRO;VALORE_NUMERICO;GEO_Y;GEO_X
PV;Bastida Pancarana;Bastida Pancarana;12.01.2016;pH;6.91;45.10508725;9.115072002
SO;Sondalo;Sondalo;03.02.2016;Conducibilità elettrica a 20°C;368;46.36177327;10.3555013
BS;Limone sul Garda;Limone sul Garda;22.09.2016;Conducibilità elettrica a 20°C;381;45.81207391;10.78732449
LO;Sant'Angelo Lodigiano;Sant.Angelo Lodigiano;16.03.2016;Escherichia coli;8164;45.24315479;9.41462148
BS;Castrezzato;Castrezzato;22.06.2016;pH;8.3;45.50752106;9.968179023
CR;Cicognolo;Cigognolo;06.07.2016;Ossigeno disciolto;7.93;45.16406522;10.20984498
BS;Rezzato;Rezzato;30.11.2016;Ossigeno disciolto;11.4;45.50818246;10.33296381
LO;Crespiatica;Crespiatica;21.09.2016;pH;7.93;45.34170192;9.5621899
CO;Dosso del Liro;Consiglio di Rumo;25.08.2016;Ossigeno disciolto;8.8;46.16975106;9.234483574
BG;San Giovanni Bianco;S. Giovanni Bianco;08.02.2016;Conducibilità elettrica a 20°C;;45.87442684;9.653147796
BS;Sarezzo;Sarezzo;12.09.2016;Temperatura acqua;19;45.64680034;10.20210762
LC;Valmadrera;Valmadrera;08.06.2016;pH;8.5;45.85478938;9.367778511
CO;COMO;Como;14.07.2016;Temperatura acqua;16.6;45.80282546;9.107056137
MN;Sermide;Sermide;12.01.2016;pH;7.88;45.01538052;11.29001297
PV;Bornasco;Pontelungo/Lardirago;17.06.2016;Conducibilità elettrica a 20°C;409.7;45.27445039;9.226293022
MN;Marcaria;Marcaria;12.01.2016;Conducibilità elettrica a 20°C;540.4;45.04117454;10.65100133
VA;Porto Ceresio;Porto  Ceresio;06.04.2016;pH;8.4;45.90609865;8.895231622
LC;Varenna;Perledo;20.06.2016;Ossigeno disciolto;12.5;46.01469797;9.283041999
BG;Brembate di Sopra;Brembate Sopra;14.09.2016;Escherichia coli;1420;45.71022021;9.587687711
MN;Acquanegra sul Chiese;Acquanegra sul Chiese;04.07.2016;Escherichia coli;1046.2;45.14854096;10.49585849
CR;Pizzighettone;Pizzighettone;09.06.2016;Escherichia coli;30000;45.20654984;9.811291315
VA;Cassano Magnago;Cassano Magnago;04.05.2016;Conducibilità elettrica a 20°C;530;45.67928433;8.806454833
PV;Bereguardo;Bereguardo;08.09.2016;pH;8.19;45.23467838;9.007681969
VA;Malnate;Malnate;10.08.2016;Ossigeno disciolto;8.6;45.80717318;8.882287002
CO;Bellagio;Bellagio;16.02.2016;Conducibilità elettrica a 20°C;437;45.97596038;9.248468123
BS;Pralboino;Pralboino;05.10.2016;Temperatura acqua;16.7;45.26839626;10.20946157
SO;Lovero;Lovero;20.09.2016;Ossigeno disciolto;15.6;46.2365307;10.22549934
MN;Moglia;Moglia;19.07.2016;Temperatura acqua;24.84;44.96139934;10.95440339
PV;Golferenzo;Golferenzo;07.06.2016;pH;8.24;44.97054081;9.297669511
PV;Vigevano;Vigevano;20.07.2016;pH;7.49;45.2923226;8.81754532
MI;Parabiago;Parabiago;13.09.2016;pH;8.31;45.55979595;8.962473633
PV;Bornasco;Pontelungo/Lardirago;08.09.2016;Ossigeno disciolto;6.74;45.27445039;9.226293022
BS;Edolo;Edolo;09.06.2016;Ossigeno disciolto;;46.19006093;10.3419504
PV;Pieve Albignola;Pieve Albignola;15.12.2016;Escherichia coli;900;45.08636505;8.970125978
PV;Bornasco;Pontelungo/Lardirago;13.04.2016;pH;7.24;45.27445039;9.226293022
LC;Mandello del Lario;Mandello;08.11.2016;Escherichia coli;2300;45.91461055;9.315178099
BG;Seriate;Seriate;04.07.2016;Conducibilità elettrica a 20°C;;45.67955117;9.724501967
CR;Cappella Cantone;Cappella Cantone;21.03.2016;Ossigeno disciolto;9.9;45.23312622;9.838617725
PV;Mezzanino;Mezzanino;03.03.2016;pH;8.56;45.12766868;9.196498936
MI;Abbiategrasso;Abbiategrasso;29.11.2016;Ossigeno disciolto;11.3;45.38694025;8.859205589
LO;Boffalora d'Adda;Boffalora;28.06.2016;pH;7.63;45.36422162;9.486066727
LC;Cortenova;Cortenova;12.04.2016;Ossigeno disciolto;10.3;46.01061833;9.37153869
MI;Cuggiono;Cuggiono;07.09.2016;Conducibilità elettrica a 20°C;237;45.49414741;8.774620534
CO;Cernobbio;Cernobbio;06.12.2016;Temperatura acqua;8.5;45.83498456;9.072982762
LC;OLGINATE;Calolziocorte/Olginate;05.04.2016;Conducibilità elettrica a 20°C;143;45.80368759;9.41416831
PV;San Zenone al Po;S. Zenone Po;19.08.2016;Ossigeno disciolto;7.81;45.10888783;9.363088336
LO;Sant'Angelo Lodigiano;Sant.Angelo Lodigiano;10.11.2016;Conducibilità elettrica a 20°C;429;45.24315479;9.41462148
BS;Gavardo;Gavardo;28.11.2016;Conducibilità elettrica a 20°C;405;45.59145363;10.44006204
MN;Viadana;Viadana;06.07.2016;Conducibilità elettrica a 20°C;331;44.9121599;10.53632845
CR;Crema;Crema;19.07.2016;Ossigeno disciolto;7.3;45.34548271;9.694962049
CR;Isola Dovarese;Isola Dovarese;15.09.2016;pH;7.94;45.17888542;10.30351456
CR;Cicognolo;Cigognolo;13.04.2016;Ossigeno disciolto;9.34;45.16406522;10.20984498
MI;San Giuliano Milanese;S. Giuliano Milanese;22.06.2016;Escherichia coli;2419.6;45.36542906;9.317839419
PV;Zinasco;Zinasco;09.11.2016;Escherichia coli;;45.12143547;9.026611015
LC;Lecco;Lecco;11.08.2016;Temperatura acqua;13.8;45.85266511;9.397363338
BS;Rovato;Rovato;01.09.2016;Conducibilità elettrica a 20°C;261;45.56085658;10.0041143
CO;Gravedona;Gravedona;04.10.2016;Temperatura acqua;13.2;46.14814473;9.296688569
CR;Corte de' Frati;Corte  de Frati;05.12.2016;pH;7.9;45.20802867;10.10960784
CR;Crema;Crema;20.10.2016;pH;8.16;45.34548271;9.694962049
BG;Palosco;Palosco;11.04.2016;Ossigeno disciolto;10.14;45.58284327;9.835674785
MB;Lesmo;Lesmo;05.05.2016;Ossigeno disciolto;9.71;45.63505181;9.299078398
BG;Lenna;Lenna;14.03.2016;Escherichia coli;340;45.93972271;9.67112635
MN;Marcaria;Marcaria;12.05.2016;Conducibilità elettrica a 20°C;515.7;45.04117454;10.65100133
SO;Ardenno;Ardenno;18.05.2016;Escherichia coli;4700;46.15740322;9.64421008
VA;Varese;Varese;14.06.2016;Conducibilità elettrica a 20°C;352;45.82128877;8.868483273
MI;PERO;Pero;04.08.2016;Temperatura acqua;24.86;45.51574337;9.070994153
CR;GABBIONETA BINANUOVA;Gabbioneta Binanuova;13.04.2016;pH;6.9;45.24028145;10.17445054
LO;Sant'Angelo Lodigiano;S. Angelo Lodigiano;12.10.2016;pH;7.6;45.23945054;9.404563744
BG;Seriate;Seriate;06.10.2016;pH;8.33;45.67955117;9.724501967
VA;Porto Ceresio;Porto  Ceresio;10.08.2016;Temperatura acqua;21.2;45.90609865;8.895231622
BG;Ponte Nossa;Ponte Nossa;01.08.2016;Temperatura acqua;16.5;45.85847449;9.879471871
LO;Santo Stefano Lodigiano;S. Stefano Lodigiano;11.08.2016;pH;7.61;45.10578654;9.736683697
MI;San Donato Milanese;S. Donato Milanese;26.04.2016;Ossigeno disciolto;8;45.40837714;9.269981843
BG;Credaro;Credaro;11.05.2016;Ossigeno disciolto;10.1;45.65067099;9.922542116
BS;Manerba del Garda;Manerba del Garda;13.06.2016;Temperatura acqua;18;45.55470155;10.54146412
VA;Luino;Luino;13.12.2016;Ossigeno disciolto;11.8;45.99451536;8.74411052
MN;Moglia;Moglia;15.03.2016;Ossigeno disciolto;9.46;44.96139934;10.95440339
MN;Marcaria;Marcaria;12.01.2016;Ossigeno disciolto;10.59;45.04117454;10.65100133
LO;Sant'Angelo Lodigiano;Sant.Angelo Lodigiano;19.05.2016;pH;7.42;45.24315479;9.41462148
PV;Ponte Nizza;Ponte Nizza;13.12.2016;pH;8.46;44.85070902;9.097973417
LO;Crespiatica;Crespiatica;15.12.2016;pH;7.84;45.34170192;9.5621899
VA;Golasecca;Golasecca;24.11.2016;Temperatura acqua;12.3;45.70554447;8.654411314
BG;Barzana;Barzana;15.06.2016;Temperatura acqua;16.2;45.73721287;9.571775784
PV;Cervesina;Cervesina;18.08.2016;pH;8.32;45.06301792;9.014264402
CO;Lomazzo;Lomazzo;01.12.2016;Conducibilità elettrica a 20°C;736;45.70007184;9.043139965
CR;San Daniele Po;San Daniele Po;22.09.2016;pH;8.1;45.05386669;10.17601399
MN;Rodigo;Rodigo;02.08.2016;Temperatura acqua;23.48;45.19919384;10.67899451
BS;Bovezzo;Bovezzo;12.09.2016;Escherichia coli;1046200;45.58404197;10.24616958
MN;Gazzuolo;Gazzuolo;14.09.2016;Ossigeno disciolto;13.6;45.04432064;10.59433446
