cod_pnt,longitude,latitude
F1.08,13.666736664002691,41.45065262709607
F1.09,13.772950424140333,41.419246638839816
F2.78,13.53153002812645,41.300885358341795
F1.13,13.590043089477648,41.696455107839725
F1.18,13.83892360807102,41.48337552036243
F1.19,13.833608606441777,41.44453510974068
F1.26,13.529082501996363,41.51615370685844
F1.34,13.338594553179139,41.57067197817118
F1.35,13.607126050861208,41.76348528991137
F1.36,13.239009620403687,41.650952794496675
F1.37,13.412864009612218,41.782644262268064
F1.68,13.373805488088731,41.53827998111371
F1.69,13.306722744767725,41.58298241733235
F1.71,13.6347988712007,41.693495974886574
F1.72,13.827040729104095,41.48865763366543
F1.73,13.518637704794877,41.5536823577333
F1.74,13.207158304890768,41.682635458008626
F1.75,13.323371407745785,41.58838289084851
F1.76,13.777026718264365,41.628046004275895
F1.77,13.65593666557898,41.55074646802251
F1.78,13.805812200636202,41.62531721489027
F1.79,13.666119655392723,41.429947021200206
F1.80,13.347985454075756,41.743147273168454
F2.02,12.98347857726311,41.48998349019245
F2.05,13.157542226174417,41.35866004847426
F2.07,13.169607574547634,41.36079516561329
F2.10,12.791261223959044,41.524857069830865
F2.11,12.852007237506339,41.52326492606771
F2.12,12.815622432645508,41.430549542396946
F2.13,12.909357793984126,41.519947984211015
F2.14,12.994640061846143,41.42390354193943
F2.15,12.953305403280824,41.38799868130161
F2.16,13.09782041761221,41.38852785837366
F2.19,13.178797385160804,41.31918152484549
F2.25,13.262055351264024,41.5034382539866
F2.29,12.753222585866705,41.469082677346265
F2.30,13.718034788848088,41.281135598270836
F2.31,13.696765314098752,41.26385644245406
F2.32,13.694627908197505,41.263201337505144
F2.33,13.888684892270431,41.31838964548929
F2.34,12.954086109344356,41.55536778115427
F2.35,13.012511820357346,41.4185452246501
F2.37,13.100440702670245,41.35370097945478
F2.69,13.382851329779427,41.32719798645304
F2.70,13.098548509416242,41.46259561156873
F2.71,13.338886833155847,41.48388175107648
F2.72,12.681999074977137,41.62101452329046
F2.73,12.938390642071054,41.55252982012831
F2.74,12.728161186430407,41.539386664888724
F2.75,13.880019920199974,41.38888884094659
F2.76,13.788833005127133,41.24276888918066
F2.77,13.193496942655488,41.29464999805062
F2.79,13.575674911316943,41.248753011338565
F2.80,13.750217102136977,41.348523979578616
F2.81,13.78804228142205,41.26919759193455
F3.15,12.919151770808746,42.372387571208584
F3.20,12.794524818382166,42.418829909755196
F3.46,13.158198110456516,42.634984435250466
F3.47,13.156229390560112,42.57719535886834
F3.48,12.743917721188854,42.504358362948615
F3.49,12.829031513134188,42.430642285223904
F3.50,13.249537623511545,42.15110022196227
F3.51,13.006538341500752,42.157784783750614
F3.52,12.862645187683217,42.38358713437231
F3.53,12.64635170779646,42.212173297079126
F3.54,12.998645135365413,42.36524296284865
F3.55,12.809363844762325,42.49010120102925
F3.56,13.267489368501574,42.74078148507443
F3.61,13.15664426097348,42.61494174455516
F3.62,13.043581944117426,42.398737519015754
F3.63,13.268779461207323,42.73058060323512
F3.70,13.002236031243363,42.29524004122388
F3.71,12.941144003478236,42.23243400690916
F3.73,12.87940451602285,42.24880174044287
F3.74,12.802745830615049,42.23291643801734
F3.75,12.7059609881714,42.23484287496178
F3.76,12.629564562811222,42.235029679273815
F3.77,12.85242843601028,42.170965342553174
F3.78,12.81122945000787,42.16779239147093
F3.79,12.660877991138507,42.40677803988981
F3.80,12.65091294053683,42.37176677857204
F3.81,12.512008344582986,42.30976859547831
F4.05,12.418280141337888,41.80695044170122
F4.06,12.472660528947566,41.90959101338289
F4.07,12.497726995209906,41.98992877283554
F4.08,12.635770853615872,42.153473640408585
F4.09,12.509752600124411,41.94218046769122
F4.11,12.668203835402126,41.92904679832747
F4.13,12.990258411370627,42.02206108923382
F4.14,13.089773606172859,41.92590407865044
F4.15,12.97884721684918,41.75943500913747
F4.16,12.974107701537974,41.76212225311403
F4.17,12.646076571998954,42.15300555113964
F4.18,12.335103517146582,41.83960844055322
F4.19,12.398734930905515,41.79389523118419
F4.20,12.019828633156228,42.142254519119355
F4.21,12.010155843600081,42.15348802378357
F4.22,12.072950893290962,41.95178449747029
F4.23,12.215193780854147,41.87661829385978
F4.24,12.312633485240944,42.038271742218924
F4.25,12.519878034200019,41.59233839615138
F4.31,12.201261880870273,41.9137198287121
F4.62,12.395251821940546,41.79875800249896
F4.63,12.48864784694256,41.95604715455898
F4.64,12.532545326098884,41.93367984336337
F4.65,12.097458057890417,41.96027437895225
F4.66,11.941727574050852,42.058392091683
F4.67,12.53802565652723,41.6705776957963
F4.68,12.925341100036555,42.01139589179833
F4.69,12.179189921109787,41.92550234348894
F4.70,12.602323986910356,42.086690020031185
F4.71,13.294808462589527,41.87477069124447
F4.72,13.199699863586108,41.861626544351246
F4.74,12.761950963896227,41.954899542533276
F4.75,13.01184288561006,41.83560431837531
F4.76,13.042513594415887,41.73085252868971
F4.77,13.091324007534311,41.711689016434484
F4.78,12.907482101647773,41.829475977806354
F4.79,12.331424332996432,42.00896878351848
F4.80,12.505256860132613,41.73623585907654
F4.81,12.236564994968141,41.939091058282905
F4.82,13.008204279716887,42.0149711260083
F4.83,12.496026371784662,41.999879327781606
F4.84,12.686030588368189,41.90709185319308
F4.85,12.554563980569815,42.14078802623565
F4.86,12.59853820953944,42.11609645525476
F4.87,12.812813996781731,41.90116393091113
F4.88,12.766860884832038,41.922757101191806
F4.89,12.01819824454317,42.142001952493814
F4.90,12.003539716620255,42.150288512245666
F4.91,11.925205650294748,42.14041083715213
F4.92,12.007687198987837,42.1521061796772
F4.93,12.4952108234159,41.6166502525018
F4.94,12.418035037009147,42.11216897055342
F4.95,12.411970318473164,42.01308468973353
F4.96,12.454022814736852,41.99753643951124
F4.97,13.228079295107941,41.92804700952915
F4.98,13.193232697518628,41.86888274150848
F4.99,12.418170176988225,42.209980876567016
F5.03,11.607457573227254,42.52202741928335
F5.05,11.599086491720925,42.35397475267807
F5.08,11.686933458629964,42.34957099800578
F5.11,11.87794668410205,42.39877317548801
F5.14,11.709260750943367,42.242999548330864
F5.22,11.86232437749028,42.76240879221539
F5.26,12.277629322649371,42.50696125135473
F5.27,12.460604533229668,42.35022519798439
F5.36,11.918934747017442,42.51740041874246
F5.37,11.843150814385258,42.21829690456224
F5.70,11.801386325218969,42.42728096020377
F5.71,11.835202742533895,42.781431608293865
F5.72,12.093531328522975,42.20866708719465
F5.73,11.697005693240332,42.55084951583088
F5.74,11.546014999531371,42.39130197261165
F5.75,12.405405220031174,42.37168178264598
F5.76,12.3514618966262,42.268399996472475
F5.77,12.2555078579612,42.26817131489589
F5.78,12.335255284836355,42.24939521029059
F5.79,11.95981673963249,42.29833952142274
F5.80,11.825630188912976,42.752046493011854
F5.81,11.911400549734497,42.36172179360286
F5.82,12.445410380292287,42.306923163720974
F5.83,12.014533227280584,42.22122484111098
