Data,Codice campione,Codice sito di monitoraggio,Nome sito di monitoraggio,Codice corpo idrico,Nome corpo idrico,Coordinate x [ED-50],Coordinate y [ED-50],LIMeco,Classe LIMeco,pH,Solidi sospesi totali ,Conducibilità,Durezza ,Ammoniaca non ionizzata ,Ammoniaca totale ,Azoto ammoniacale ,Azoto nitrico ,Fosfati,Fosforo totale ,E. coli ,Ossigeno disciolto  ,Ossigeno disciolto a saturazione ,Tipo di protocollo analitico
,,,,,,,,,,[-Log [H+]],[mg/L],[µS/cm],[mg/L CaCO3], [mg/L NH3],[mg/L NH4],[mg/L N-NH4],[mg/L N-NO3],[µg/L P-PO4],[µg/L],[u.f.c./100 mL],[mg/L],[%],
17/2/2014,C201400765,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"8,23","1,2","146,6",87,,,0.01,"0,45",3.3,"4,5",1,"12,09","96,1",PARAMETRI DI BASE
14/5/2014,C201401916,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"8,06",22,"115,4",61,,,0.02,"0,4",3.3,"10,9",1,"10,9",95,PARAMETRI DI BASE
11/9/2014,C201404096,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"8,13",1.0,"108,6",64,,,0.02,"0,39",3.3,3.3,1,"9,73",96,PARAMETRI DI BASE
4/12/2014,C201405878,ARL010,Arly,0261va,Torrent d'Arly,386137,5065459,"1,00",Elevato,"7,95",1,"115,6",68,,,0.02,"0,39",3.3,3.3,1,"11,05","97,6",PARAMETRI DI BASE
23/3/2023,C202301346,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,79",1.0,"90,5","45,9",,,0.08,"0,21",3.3,"4,7",1,"10,97","95,5",PARAMETRI DI BASE
27/6/2023,C202302920,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,69",1.0,"54,7",26,,,0.08,"0,15",3.3,"6,5",1,"8,96","93,5",PARAMETRI DI BASE
5/9/2023,C202303945,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,76",1.0,"75,3","37,6",,,0.08,"0,12","3,5","7,4",2,"9,08",100,PARAMETRI DI BASE
20/11/2023,C202305374,ARP010,Fond Damon,0551va,Torrent d'Arpy,344575,5066644,"0,88",Elevato,"7,81",1.0,"60,3","33,4",,,0.08,"0,18",3.3,3.3,1,"10,95","99,4",PARAMETRI DI BASE
20/1/2015,C201500327,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"1,00",Elevato,"8,05",1.0,"210,7",108,0.02,0.01,0.02,"0,25",3.3,"7,7",110,"12,34","98,8",PARAMETRI DI BASE+SALMONICOLO
14/4/2015,C201502075,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,19","2,5","240,1","117,58",0.02,0.01,0.02,"0,13",3.3,"67,7",9,"10,91",100,PARAMETRI DI BASE+SALMONICOLO
9/7/2015,C201503947,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"1,00",Elevato,"8,06","1,2","95,1","46,83",0.02,0.01,0.02,0.13,3.3,3.3,100,"9,93",100,PARAMETRI DI BASE+SALMONICOLO
1/10/2015,C201505453,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"1,00",Elevato,"8,12","2,4","143,9","77,33",0.02,0.01,0.02,"0,17",3.3,"7,8",13,"10,34","93,5",PARAMETRI DI BASE+SALMONICOLO
1/3/2016,C201600905,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,16",1.0,,"129,9",0.02,0.01,,,,"16,7",,"12,29",,SALMONICOLO
7/6/2016,C201602600,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,86","1,1",,"48,52",0.1,0.1,,,,"13,4",,"10,18",,SALMONICOLO
6/9/2016,C201604157,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,11",1.0,,n.d.,n.d.,n.d.,,,,45,,"9,97",,SALMONICOLO
7/12/2016,C201605698,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,94",1.0,,"98,6",0.1,0.1,,,,5,,"12,98",,SALMONICOLO
15/3/2017,C201701225,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,19","1,5","238,4","113,3",0.1,0.1,0.08,"0,15",3.3,"17,7",500,"11,33","96,3",PARAMETRI DI BASE+SALMONICOLO
20/6/2017,C201702991,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,79",2,"64,8","32,65",0.1,0.1,0.08,"0,14",3.3,5,42,"9,47","96,6",PARAMETRI DI BASE+SALMONICOLO
5/9/2017,C201704065,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,01","1,1","158,3","78,8",0.1,0.1,0.08,"0,14",3.3,3.3,540,"9,42","97,9",PARAMETRI DI BASE+SALMONICOLO
13/3/2018,C201801521,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,31",1.0,"244,7","124,2",0.1,0.1,0.08,"0,18",3.3,3.3,80,"11,98",100,PARAMETRI DI BASE+SALMONICOLO
25/6/2018,C201803543,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,93","3,1","75,9","33,13",0.1,0.1,0.08,"0,09",3.3,"12,7",1000,"9,69","96,4",PARAMETRI DI BASE+SALMONICOLO
13/9/2018,C201804901,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,96",1.0,"162,5","84,6",0.1,0.1,0.08,"0,1",3.3,"3,5",16,"8,87","92,5",PARAMETRI DI BASE+SALMONICOLO
5/12/2018,C201806455,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,53","1,4","156,9","78,9",0.1,0.1,0.08,"0,19",3.3,"5,6",71,"12,42",100,PARAMETRI DI BASE+SALMONICOLO
16/1/2019,C201900232,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,97",1.0,"207,1",109,0.01,0.1,0.08,"0,22",3.3,"3,5",360,"12,62","98,6",PARAMETRI DI BASE+SALMONICOLO
18/4/2019,C201902008,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,12","1,4","225,7","99,4",0.01,0.1,0.08,"0,12",3.3,"3,9",23,"11,1","98,8",PARAMETRI DI BASE+SALMONICOLO
22/7/2019,C201903762,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,75",Elevato,"8,03","2,8","90,3","46,41",0.01,0.1,0.08,"0,1",3.3,"8,9",290,"8,55","83,2",PARAMETRI DI BASE+SALMONICOLO
22/10/2019,C201905583,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,88","3,8","126,1","63,7",0.01,0.1,0.08,"0,28",3.3,"12,1",38,"10,24","98,5",PARAMETRI DI BASE+SALMONICOLO
13/1/2020,C202000209,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,94",1.0,"208,5","104,4",0.01,0.1,0.08,"0,24",3.3,"6,2",59,"12,77","98,2",PARAMETRI DI BASE+SALMONICOLO
16/7/2020,C202003375,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"7,69","1,4","100,4",51,0.1,0.1,0.1,0.6,4,"11,8",59,"9,34","95,2",PARAMETRI DI BASE+SALMONICOLO
16/11/2020,C202005604,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,"0,88",Elevato,"8,39","1,9","347,7",87,0.1,0.1,0.1,0.6,3.3,"8,6",22,"11,42","99,5",PARAMETRI DI BASE+SALMONICOLO
19/1/2021,C202100218,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,97","2,2",,109,0.1,0.1,,,,6,,"13,11",,SALMONICOLO
14/4/2021,C202101737,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,13",1.0,,122,0.1,0.1,,,,"8,1",,"12,78",,SALMONICOLO
21/7/2021,C202103705,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,75","1,1",,50,0.1,0.1,,,,3.3,,"9,51",,SALMONICOLO
19/10/2021,C202105543,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,96","2,7",,85,0.1,0.1,,,,"4,6",,"11,14",,SALMONICOLO
25/1/2022,C202200354,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,99","2,7",,111,0.01,0.1,,,,"6,5",,"12,85",,SALMONICOLO
27/4/2022,C202202149,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,15","2,1",,101,0.01,0.1,,,,9,,"10,78",,SALMONICOLO
20/7/2022,C202203728,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,24",1.0,,76,0.01,0.1,,,,"12,6",,"7,44",,SALMONICOLO
20/10/2022,C202205391,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,95",3,,83,0.01,0.1,,,,"11,9",,"9,96",,SALMONICOLO
1/3/2023,C202300938,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,76",1.0,,111,0.01,0.1,,,,5,,"12,76",,SALMONICOLO
27/6/2023,C202302921,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"7,87","2,4",,"38,4",0.01,0.1,,,,9,,"9,1",,SALMONICOLO
5/9/2023,C202303946,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,1","3,3",,77,0.01,0.1,,,,"10,6",,"9,03",,SALMONICOLO
7/11/2023,C202305154,ARP020,Foce,0552va,Torrent d'Arpy,347269,5068973,,,"8,01","1,3",,80,0.01,0.1,,,,"6,6",,"11,2",,SALMONICOLO
21/2/2012,C201200578,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"1,00",Elevato,"8,3","1,1","536,6",295,,,0.01,"0,24","1,6","4,2",1,"11,43","96,8",PARAMETRI DI BASE
17/4/2012,C201201445,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"1,00",Elevato,"8,2","1,3","443,8",246,,,0.01,"0,31","3,6","3,7",1,"10,49","97,7",PARAMETRI DI BASE
25/9/2012,C201203580,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"1,00",Elevato,"8,3","0,7","372,3",216,,,0.01,"0,25","2,9","7,5",31,"9,79","95,6",PARAMETRI DI BASE
20/11/2012,C201204376,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,2",1,372,205,,,0.01,"0,3","2,6","8,7",2,"11,23","86,5",PARAMETRI DI BASE
20/2/2017,C201700687,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,26","2,1",608,"316,3",,,0.08,"0,18",3.3,"6,3",3,"11,13","96,7",PARAMETRI DI BASE
15/5/2017,C201702339,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,11","3,4","405,5","214,6",,,0.08,"0,22",3.3,4,4,"11,13",100,PARAMETRI DI BASE
21/9/2017,C201704305,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,27","2,2","462,5","265,4",,,0.08,"0,23",3.3,3.3,10,"10,49","97,5",PARAMETRI DI BASE
5/12/2017,C201705819,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,75",Elevato,"8,3","2,6",560,"302,19",,,0.08,"0,68",3.3,4,1,"11,01","95,5",PARAMETRI DI BASE
22/3/2023,C202301332,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,3","1,6","498,1",280,,,0.08,"0,36",3.3,"9,2",3,"10,25",92,PARAMETRI DI BASE
6/6/2023,C202302517,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,13","13,4","286,6",166,,,0.08,"0,21",3.3,"11,1",2,"10,05","95,5",PARAMETRI DI BASE
4/9/2023,C202303936,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,18","4,8","403,1",216,,,0.08,"0,25",4,"45,9",28,"9,43","94,9",PARAMETRI DI BASE
13/11/2023,C202305246,ART010,Pont-Comba,0760011va,Torrent Artanavaz,357913,5075649,"0,88",Elevato,"8,19","1,3","444,3",225,,,0.08,"0,21",3.3,"13,3",15,"10,76","97,5",PARAMETRI DI BASE
3/2/2010,C201000342,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,27","1,4","532,2","290,4",,,"0,04","0,32",30.0,"19,4",8300,"10,94","97,4",PARAMETRI DI BASE
6/4/2010,C201001154,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,81",Elevato,"8,15","0,4",541,"285,8",,,"0,12","0,55",30.0,"23,6",8000,"10,49",98,PARAMETRI DI BASE
10/8/2010,C201003237,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"1,00",Elevato,"8,23","1,5","379,9","204,05",,,0.01,"0,31",30.0,"15,1",10000,"9,16","96,5",PARAMETRI DI BASE
13/10/2010,C201004246,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"1,00",Elevato,"8,2","0,6","435,5","241,08",,,0.01,"0,27",30.0,10.0,7900,"10,17","98,8",PARAMETRI DI BASE
21/2/2012,C201200583,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,2","0,6","486,7",270,,,"0,03","0,3","7,3","10,3",22000,"10,86","91,7",PARAMETRI DI BASE
17/4/2012,C201201446,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"1,00",Elevato,"8,2","10,9","409,9",227,,,0.01,"0,34","13,7","18,3",6700,"10,35","97,6",PARAMETRI DI BASE
25/9/2012,C201203581,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,4","6,3","410,4",233,,,"0,04","0,24","8,9","16,9",21000,"10,03","97,5",PARAMETRI DI BASE
20/11/2012,C201204378,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,75",Elevato,"8,2","35,2","436,7",248,,,"0,03","0,28","25,2","44,5",13000,"11,32","89,7",PARAMETRI DI BASE
20/2/2017,C201700688,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,23","2,5","510,5","287,5",,,0.08,"0,29","4,3","13,6",9700,"11,29","97,3",PARAMETRI DI BASE
15/5/2017,C201702340,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,18","7,6","337,3",176,,,0.08,"0,25",3.3,"7,8",3800,"10,23","99,2",PARAMETRI DI BASE
21/9/2017,C201704306,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,26","3,8","453,4","254,3",,,0.08,"0,22",3.3,"3,9",8000,"10,3","96,4",PARAMETRI DI BASE
5/12/2017,C201705820,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,75",Elevato,"8,36",1.0,498,"255,06",,,0.08,"1,13",3.3,"10,1",13000,"14,89",100,PARAMETRI DI BASE
17/2/2021,C202100712,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,78",Elevato,"8,22",1.0,"495,5",253,,,"0,2",0.6,3.3,"16,8",4500,"10,87","95,3",PARAMETRI DI BASE
3/5/2021,C202102009,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,26","2,4","402,5",217,,,0.1,0.6,3.3,"8,7",3900,"11,05","99,9",PARAMETRI DI BASE
12/8/2021,C202104292,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,75",Elevato,"8,07",2,"388,1",206,,,0.1,0.6,3.3,"11,4",16000,"9,23",88,PARAMETRI DI BASE
4/11/2021,C202105725,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,5","4,2","453,9",252,,,0.1,0.6,3.3,"14,6",5500,"10,84","97,4",PARAMETRI DI BASE
18/1/2022,C202200244,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,15",1.0,"481,6",265,,,0.08,"0,29","4,4","10,1",5000,"11,67","98,1",PARAMETRI DI BASE
14/4/2022,C202201961,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,81",Elevato,"8,31","1,2","482,1",260,,,"0,1","0,3","5,1","9,7",3900,"10,4","94,2",PARAMETRI DI BASE
21/7/2022,C202203756,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,39","1,1","439,9",228,,,0.08,"0,23",3.3,"13,2",11000,"9,42","98,5",PARAMETRI DI BASE
13/10/2022,C202205242,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,28","1,7",454,255,,,0.08,"0,21","4,3","8,1",4500,10,"95,1",PARAMETRI DI BASE
22/3/2023,C202301333,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,33",1.0,"409,9",263,,,0.08,"0,33","3,5","12,1",3700,"10,96","99,8",PARAMETRI DI BASE
6/6/2023,C202302518,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,12","14,3","248,9",138,,,0.08,"0,2",3.3,"14,1",2600,"10,06","97,4",PARAMETRI DI BASE
4/9/2023,C202303937,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,15","5,6","442,4",237,,,0.08,"0,24","4,7","14,5",13000,"9,83",100,PARAMETRI DI BASE
13/11/2023,C202305247,ART020,Etroubles,0760012va,Torrent Artanavaz,362359,5075749,"0,88",Elevato,"8,22",5,"420,6",216,,,0.08,"0,3",3.3,"15,4",12000,"10,56","97,1",PARAMETRI DI BASE
21/2/2012,C201200584,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,3","3,9","438,1",239,,,"0,03","0,44","7,5","12,7",4700,"11,46","91,5",PARAMETRI DI BASE
17/4/2012,C201201447,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"1,00",Elevato,"8,2","3,8","387,7",207,,,0.01,"0,43","5,5","11,6",1000,"11,05","96,2",PARAMETRI DI BASE
25/9/2012,C201203582,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"1,00",Elevato,"8,4","5,2",377,213,,,0.01,"0,4","10,9","19,9",2800,"10,02",96,PARAMETRI DI BASE
20/11/2012,C201204379,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"1,00",Elevato,"8,2","1,4","403,2",224,,,0.01,"0,48","6,5","9,1",680,"11,65","92,6",PARAMETRI DI BASE
20/2/2017,C201700689,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,26","1,2","456,6","251,7",,,0.08,"0,39","4,7",13,7000,"11,97","96,6",PARAMETRI DI BASE
15/5/2017,C201702341,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,26","6,3","342,2","179,8",,,0.08,"0,37",3.3,"13,2",3400,"10,29","95,7",PARAMETRI DI BASE
21/9/2017,C201704307,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,32","1,8","413,5","228,3",,,0.08,"0,38",3.3,"4,1",800,"10,87","99,4",PARAMETRI DI BASE
5/12/2017,C201705821,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,56",Buono,"8,21",2,"434,9","217,57",,,0.08,"1,51",3.3,"11,4",5200,"10,8","86,8",PARAMETRI DI BASE
28/4/2020,C202001777,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,69",Elevato,"8,05",n.d.,"268,2",121,,,0.1,0.6,"10,7","162,1",2700,"10,52","96,1",PARAMETRI DI BASE
17/2/2021,C202100713,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,32",1.0,"447,1",219,,,0.1,0.6,3.3,"7,7",4100,"11,96","97,9",PARAMETRI DI BASE
3/5/2021,C202102010,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,39","8,3","374,8",201,,,0.1,0.6,"3,4","14,7",3700,"11,27","95,5",PARAMETRI DI BASE
12/8/2021,C202104293,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,34","1,8","347,4",184,,,0.1,0.6,3.3,"13,1",2600,"9,72","93,4",PARAMETRI DI BASE
4/11/2021,C202105726,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,37","2,9","415,7",227,,,0.1,0.6,"3,7","9,8",550,"11,39","98,5",PARAMETRI DI BASE
18/1/2022,C202200245,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,27",1.0,"435,8",233,,,0.08,"0,4","4,7","9,8",1600,"12,27","95,6",PARAMETRI DI BASE
14/4/2022,C202201962,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,75",Elevato,"8,4","9,9","432,7",236,,,0.08,"0,34","9,4","22,2",3500,"9,22","80,6",PARAMETRI DI BASE
21/7/2022,C202203757,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,52",1.0,"402,9",208,,,0.08,"0,38",3.3,"18,4",2500,"9,45","98,7",PARAMETRI DI BASE
13/10/2022,C202205243,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,41",1,"423,5",234,,,0.08,"0,33","5,5","10,9",1300,"10,21","95,7",PARAMETRI DI BASE
22/3/2023,C202301334,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,31","1,2","453,6",236,,,0.08,"0,41","5,3","16,6",5600,"11,15",100,PARAMETRI DI BASE
6/6/2023,C202302519,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,14","7,1","269,9",146,,,0.08,"0,27","5,2","16,6",500,"10,06","95,1",PARAMETRI DI BASE
4/9/2023,C202303938,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,29",1.0,"405,6",212,,,0.08,"0,35","5,6","23,6",1900,"9,54","95,9",PARAMETRI DI BASE
13/11/2023,C202305248,ART030,Moulin,0760013va,Torrent Artanavaz,368427,5071992,"0,88",Elevato,"8,55",1.0,"413,7",210,,,0.08,"0,42","4,8","42,2",2400,"11,02",100,PARAMETRI DI BASE
23/6/2020,C202002883,AYS010,Dondena,0051va,Torrent Ayasse,387266,5052657,"0,88",Elevato,"8,02",1.0,"127,2",71,,,0.1,0.6,3.3,3.3,1,"9,33","98,1",PARAMETRI DI BASE
18/8/2020,C202003922,AYS010,Dondena,0051va,Torrent Ayasse,387266,5052657,"0,88",Elevato,"8,09",1.0,"130,3",71,,,0.1,0.6,3.3,"6,5",65,"8,42","96,2",PARAMETRI DI BASE
15/2/2010,C201000521,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,21","0,9","153,9","85,1",,,0.01,"0,2",30.0,10.0,1,"11,31","99,5",PARAMETRI DI BASE
13/4/2010,C201001293,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,1","0,1","161,9","84,5",,,0.01,"0,23",30.0,10.0,1,"10,79",97,PARAMETRI DI BASE
24/8/2010,C201003418,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,29","0,1","142,2","82,28",,,0.01,"0,14",30.0,10.0,60,"8,62","93,4",PARAMETRI DI BASE
21/10/2010,C201004367,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,2","0,3","157,6",89,,,0.01,"0,19",30.0,10.0,2,"10,66","93,2",PARAMETRI DI BASE
21/3/2011,C201101181,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,2","0,2","151,8",88,,,0.01,"0,21","1,6","2,4",1,"11,19",98,PARAMETRI DI BASE
5/5/2011,C201101917,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,3","1,8","183,3",89,,,0.01,"0,34","2,9","3,1",1,"10,13","96,8",PARAMETRI DI BASE
18/8/2011,C201103513,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,3","0,3","157,3",86,,,0.01,"0,24","1,9","2,4",14,"9,36","96,2",PARAMETRI DI BASE
20/3/2012,C201201032,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,1",1,"144,3",84,,,0.01,"0,21","6,8",7,1,"11,6",100,PARAMETRI DI BASE
24/5/2012,C201201912,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,2","0,9","130,8",70,,,0.01,"0,3",1.6,"2,2",1,"9,9","94,8",PARAMETRI DI BASE
23/8/2012,C201203178,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,3","0,9","215,8",91,,,0.01,"0,25",1.6,"3,6",50,"8,84","94,7",PARAMETRI DI BASE
22/10/2012,C201203953,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,2","2,2","156,2",93,,,0.01,"0,28",1.6,1.6,3,"10,08","91,7",PARAMETRI DI BASE
19/5/2014,C201402081,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"0,88",Elevato,"8,21","1,1",166,89,,,0.02,"0,29",3.3,"4,4",1,"9,27","87,1",PARAMETRI DI BASE
15/7/2014,C201403171,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,2",1.0,"133,9",83,,,0.02,"0,14",3.3,"3,3",73,"9,03","96,8",PARAMETRI DI BASE
3/11/2014,C201405191,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"1,00",Elevato,"8,32",1.0,"157,3",99,,,0.02,"0,14",3.3,3.3,1,"10,68",100,PARAMETRI DI BASE
27/6/2017,C201703060,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"0,75",Elevato,"8,13","1,5","124,5","62,7",,,0.08,"0,75",3.3,"3,5",4,"9,23","98,9",PARAMETRI DI BASE
24/8/2017,C201703942,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"0,88",Elevato,"8,3",1.0,165,"93,1",,,0.08,"0,15",3.3,3.3,17,"8,87","99,9",PARAMETRI DI BASE
12/10/2017,C201704619,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"0,88",Elevato,"8,2",1.0,169,"99,7",,,0.08,"0,16",3.3,"3,6",31,"12,71",100,PARAMETRI DI BASE
23/6/2020,C202002884,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"0,88",Elevato,"8,12",1.0,"142,8",79,,,0.1,0.6,3.3,"3,9",12,"9,05","95,6",PARAMETRI DI BASE
18/8/2020,C202003923,AYS020,Ponte Maddalene,0052va,Torrent Ayasse,389280,5052363,"0,88",Elevato,"8,26",1,"147,2",79,,,0.1,0.6,3.3,"7,2",200,"8,98",100,PARAMETRI DI BASE
